timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20201029T0000,11.315029,0,26.674032,238.24052
20201029T0100,10.845029,0,26.865265,237.5877
20201029T0200,10.855029,0,25.762016,236.97614
20201029T0300,11.015029,0,25.77962,234.09029
20201029T0400,10.7050295,0.1,24.192429,233.47115
20201029T0500,10.4550295,0.3,22.392464,233.49857
20201029T0600,10.425029,0.6,21.385939,233.90172
20201029T0700,10.445029,0.6,20.523157,232.12502
20201029T0800,10.845029,0.3,19.95972,230.85602
20201029T0900,11.435029,0.3,20.240198,231.49934
20201029T1000,12.295029,1.1,21.67786,234.46233
20201029T1100,12.595029,0.8,23.710857,239.93143
20201029T1200,13.025029,0.7,24.967499,245.28256
20201029T1300,12.605029,0,24.967499,245.28256
20201029T1400,13.165029,0,23.210928,246.21799
20201029T1500,14.015029,0,22.406927,246.31792
20201029T1600,13.945029,0,19.966211,244.359
20201029T1700,13.425029,0,17.555307,241.8584
20201029T1800,12.925029,0,15.277749,235.561
20201029T1900,12.565029,0.1,14.291592,229.08562
20201029T2000,12.305029,0.2,14.773164,226.97495
20201029T2100,12.155029,0.4,15.7908325,226.84761
20201029T2200,12.115029,0.4,16.299694,226.78992
20201029T2300,12.115029,0,16.548256,225.88141
20201030T0000,12.095029,0,16.80857,226.73572
20201030T0100,12.015029,0,16.870138,230.19443
20201030T0200,11.885029,0,15.9134655,232.35239
20201030T0300,11.655029,0,14.565548,230.01312
20201030T0400,11.485029,0,13.246826,227.2026
20201030T0500,11.395029,0,12.738099,222.7094
20201030T0600,11.315029,0,12.261157,220.23636
20201030T0700,11.155029,0,11.304229,217.23483
20201030T0800,11.295029,0,11.304229,217.23483
20201030T0900,11.745029,0,12.768586,220.42609
20201030T1000,12.315029,0,12.475961,226.16914
20201030T1100,13.155029,0,12.599998,233.1301
20201030T1200,13.965029,0,12.10157,239.62088
20201030T1300,16.085028,0,15.256526,250.70996
20201030T1400,16.515028,0,12.181625,251.0296
20201030T1500,16.535028,0,12.413476,253.1416
20201030T1600,16.115028,0,11.090103,256.86597
20201030T1700,14.325029,0,6.924738,261.02737
20201030T1800,13.7050295,0,3.8773184,248.1986
20201030T1900,12.935029,0,3.5455887,203.9625
20201030T2000,12.345029,0,4.6938252,184.39871
20201030T2100,11.735029,0,5.04,180
20201030T2200,11.015029,0,4.802999,167.00539
20201030T2300,10.375029,0,3.8773184,158.1986
20201031T0000,9.915029,0,3.6,143.1301
20201031T0100,9.615029,0,4.072935,135
20201031T0200,9.685029,0,4.39436,145.00798
20201031T0300,9.405028,0,4.6102495,141.34018
20201031T0400,9.515029,0,4.6938257,122.47119
20201031T0500,9.525029,0,4.39436,124.99202
20201031T0600,9.275029,0,4.6102495,128.6598
20201031T0700,9.065029,0,5.1165614,129.2894
20201031T0800,9.175029,0,5.6002855,135
20201031T0900,9.845029,0,5.904439,142.4314
20201031T1000,11.515029,0,6.12,151.9275
20201031T1100,13.485029,0,6.28713,156.37062
20201031T1200,15.795029,0,6.5693827,170.53767
20201031T1300,17.495028,0,6.849467,183.01279
20201031T1400,18.495028,0,9.793058,197.10272
20201031T1500,18.785028,0,9.793058,197.10272
20201031T1600,18.155027,0,8.12197,192.80426
20201031T1700,16.265028,0,7.208994,182.86241
20201031T1800,14.715029,0,8.287822,177.51045
20201031T1900,13.545029,0,8.669949,175.23636
20201031T2000,12.395029,0,9.36,180
20201031T2100,11.375029,0,9.72,180
20201031T2200,10.405029,0,9.726665,182.1211
20201031T2300,9.275029,0,9.36,180
20201101T0000,7.935029,0,10.105681,175.91438
20201101T0100,6.985029,0,9.826088,171.57303
20201101T0200,8.565029,0,10.805999,181.90915
20201101T0300,9.815029,0,10.440001,180
20201101T0400,10.845029,0,9.746631,175.76361
20201101T0500,11.935029,0,9.779817,173.6598
20201101T0600,11.865029,0,9.3876505,175.60129
20201101T0700,11.745029,0,9.72,180
20201101T0800,11.875029,0,9.779817,186.3402
20201101T0900,13.045029,0,10.24578,198.43495
20201101T1000,13.525029,0,12.7279215,208.73979
20201101T1100,14.185029,0,15.463246,204.77515
20201101T1200,15.985029,0,18.25026,202.01129
20201101T1300,17.14503,0,18.556595,198.08345
20201101T1400,17.885029,0,14.512064,187.12502
20201101T1500,17.375029,0,14.77755,182.79271
20201101T1600,16.24503,0,13.698934,183.01279
20201101T1700,14.745029,0,12.287555,185.04245
20201101T1800,14.2050295,0,11.090103,193.13402
20201101T1900,14.095029,0,11.503113,200.1363
20201101T2000,13.975029,0.2,11.770403,203.4287
20201101T2100,13.855029,0.2,10.703569,199.65382
20201101T2200,13.815029,0,10.739833,193.57043
20201101T2300,13.725029,0,10.538843,187.85332
20201102T0000,13.725029,0,10.8955765,187.59465
20201102T0100,13.735029,0,10.594036,189.78241
20201102T0200,14.065029,0,12.224107,193.627
20201102T0300,14.115029,0,12.783802,189.72758
20201102T0400,14.115029,0,11.874544,194.03624
20201102T0500,14.075029,0,11.177405,194.93143
20201102T0600,14.115029,0,10.739833,193.57043
20201102T0700,14.145029,0,10.538843,187.85332
20201102T0800,14.315029,0,11.165805,181.84761
20201102T0900,16.515028,0,11.159999,180
20201102T1000,19.075027,0,13.138765,189.46233
20201102T1100,20.525028,0,13.905509,201.2505
20201102T1200,21.745028,0,16.363178,219.64418
20201102T1300,21.275028,0,17.148247,230.9645
20201102T1400,21.285028,0,14.255272,225
20201102T1500,21.705029,0,14.512064,226.0051
20201102T1600,21.185028,0,13.246826,222.7974
20201102T1700,19.155027,0,10.883676,214.2157
20201102T1800,18.525028,0,9.659814,206.56505
20201102T1900,18.115028,0,9.659814,206.56505
20201102T2000,17.725029,0,10.086427,214.8245
20201102T2100,18.085028,0,11.709688,225
20201102T2200,18.165028,0,15.277749,235.561
20201102T2300,17.615028,0,17.22742,243.97041
20201103T0000,17.035028,0,16.279802,251.96573
20201103T0100,16.65503,0,14.205182,261.25385
20201103T0200,16.335028,0,5.771239,266.42368
20201103T0300,15.765029,0,5.3517847,289.6538
20201103T0400,15.105029,0,5.904439,307.5686
20201103T0500,14.595029,0,5.1165614,309.2894
20201103T0600,14.185029,0,5.6233797,320.19443
20201103T0700,13.875029,0,5.1919937,326.30994
20201103T0800,13.645029,0,5.00128,329.7436
20201103T0900,13.585029,0,4.829907,333.43497
20201103T1000,13.435029,0,5.3999996,323.13013
20201103T1100,13.315029,0.2,5.6233797,320.19443
20201103T1200,13.165029,0.2,6.193674,305.5377
20201103T1300,12.945029,0.3,6.9527545,291.2505
20201103T1400,12.505029,0.1,7.5170207,286.69925
20201103T1500,12.055029,0,7.5942073,275.44034
20201103T1600,11.675029,0.4,8.825508,258.23172
20201103T1700,11.385029,0,9.028754,246.50143
20201103T1800,11.265029,0,9.19939,239.42078
20201103T1900,10.925029,0,8.39657,239.03624
20201103T2000,10.595029,0,8.854829,243.43495
20201103T2100,10.435029,0,9.449572,252.25534
20201103T2200,10.235029,0,11.212135,264.47247
20201103T2300,9.805029,0,10.823973,273.8141
20201104T0000,9.345029,0,9.346143,285.64224
20201104T0100,8.865028,0,7.5685663,295.3462
20201104T0200,8.315029,0,3.7064266,330.94543
20201104T0300,7.425029,0,4.896529,342.89728
20201104T0400,6.4450293,0,5.04,360
20201104T0500,5.475029,0,5.4477882,7.594635
20201104T0600,5.145029,0,6.638072,12.528809
20201104T0700,4.815029,0,7.072878,14.743561
20201104T0800,5.845029,0,8.427383,19.983109
20201104T0900,7.925029,0,10.636766,23.962479
20201104T1000,9.215029,0,12.24,28.07248
20201104T1100,9.635029,0,12.979984,33.690063
20201104T1200,9.785029,0,13.392774,36.25383
20201104T1300,9.785029,0,13.896187,36.573013
20201104T1400,9.565029,0,14.336861,28.495636
20201104T1500,9.365028,0.2,13.684735,35.362457
20201104T1600,9.225029,0.1,12.475961,43.830856
20201104T1700,8.875029,0,9.957108,49.398697
20201104T1800,8.665029,0,8.942214,49.89908
20201104T1900,8.605029,0,8.654987,44.999985
20201104T2000,8.525029,0,9.793059,36.027374
20201104T2100,8.435029,0,10.296251,36.469223
20201104T2200,8.4950285,0,10.97262,41.009094
20201104T2300,8.395029,0,10.948973,46.3322
20201105T0000,8.125029,0,9.957108,49.398697
20201105T0100,7.9050283,0,9.449572,49.635452
20201105T0200,7.5850286,0,7.42159,39.09384
20201105T0300,7.265029,0,7.5942082,31.42955
20201105T0400,6.9950285,0,7.8954163,24.227737
20201105T0500,6.7450285,0,8.049845,26.565033
20201105T0600,6.305029,0,7.9036193,30.068573
20201105T0700,5.975029,0,7.9932966,35.837646
20201105T0800,6.185029,0,8.14587,44.999985
20201105T0900,7.3250284,0,8.942214,49.89908
20201105T1000,8.715029,0,9.885262,56.88865
20201105T1100,9.775029,0,10.787993,64.29004
20201105T1200,10.595029,0,11.91812,64.98311
20201105T1300,11.365029,0,12.879752,63.43495
20201105T1400,12.015029,0,13.684735,63.43495
20201105T1500,12.325029,0,14.973577,62.818893
20201105T1600,12.425029,0,16.263872,62.30053
20201105T1700,11.925029,0,15.617529,64.02559
20201105T1800,11.655029,0,14.84318,67.166336
20201105T1900,11.225029,0,13.1041975,69.0755
20201105T2000,9.595029,0,11.27553,73.30075
20201105T2100,7.215029,0,9.346143,74.35776
20201105T2200,6.6650286,0,7.771331,76.6075
20201105T2300,7.9450293,0,6.2145634,79.99202
